Search Term,Source,Title,Article Content
police misconduct,https://www.nytimes.com/reuters/2020/07/24/business/24reuters-global-race-police-insurance-focus.html,U.S. Insurers Explore Officer Coverage as Police Reform Debate Rages,"(Reuters) - U.S. insurers and brokers are starting to craft professional liability coverage for police officers, spurred on by signs that policymakers in some cities and states want to use a financial stick to curb police misconduct. They see a potential market opening up after a New York state lawmaker this month introduced legislation, which would require individual officers to carry liability coverage for lawsuits alleging excessive force, abuse or other misconduct. ""I think we're in a new world,"" said New York-based Mark Turkalo at the insurance brokerage unit of Marsh & McLennan Companies Inc, about the trend. Turkalo said the firm is exploring whether it could develop the coverage. The bill authored by Democratic Senator Alessandra Biaggi follows a number of police reforms in New York and other U.S. states and cities, which were prompted by a wave of protests against police brutality and racial injustice since May. Biaggi's bill would require local governments to pay for the individual policies, but officers would pay any premium increases arising from their misconduct. As premiums rise, ""it would force an officer to either change their behavior or leave the field of law enforcement,"" Biaggi told Reuters. Insurers could build on the handful of policies that already exist for police officers who become embroiled in police work while off duty, said Anne Marie Towle, an executive at broker Hylant Group Inc in Ohio, adding she believes the idea will become more mainstream. She is working with an actuary to analyze potential losses and with Prymus Insurance Co, a private North Carolina insurer specializing in unusual risks, to try and develop a product, she said. Prymus Chief Executive Jeff Harrison confirmed the company is working on police liability coverage. It has to be affordable for police, he said. ""But officers that break the law need to be held accountable."" Currently, most police officers rely on municipalities to cover legal costs and payouts to victims, either from public funds or blanket insurance. Critics say that provides no incentive for officers to check their behavior, often leaving taxpayers on the hook. New York City paid $220 million last year for police department settlements of civil lawsuits, far more than any other of the city's agencies, public data show. [https://tmsnrt.rs/2CZmrT1] The bill faces stiff opposition from powerful police unions who say it would be costly for already-underpaid officers and make recruitment more difficult, but it underscores that the broader concept is starting to gain ground amid the raging debate on police reform. The idea of using liability coverage to sanction police who use excessive force has been championed by some criminal justice experts since 2014, when police fatally shot Black teenager Michael Brown in Ferguson, Missouri. A similar policy qualified as a Minneapolis ballot measure in 2016, but a court ruling blocked it from being voted on. Colorado last month passed a law that holds police officers personally liable for 5% or $25,000 of damages if their employer determines they did not act in good faith. Policymakers in California and Florida have also expressed interest in the idea, according to Clark Neily, vice president for criminal justice at Washington, D.C., think tank Cato Institute, who has been studying the issue for the past two years. He said he had spoken with a handful of insurers in the last few months about the nuts and bolts of police liability insurance. Some insurers contacted by Reuters privately raised concerns about wading into a political quagmire. They also face a hurdle accessing police disciplinary records, which are confidential in many states, according to legal experts. ""A lot of our clients are asking"" about the policies and carriers are working on coverage, said a senior executive at a U.S. insurance broker who was not authorized to speak publicly. Neily's discussions with insurers have focused on how much to charge and where to cap payouts. Based on those discussions, he said he believes $500,000 or $1 million would cover most claims and that cities could use broader policies to cover amounts beyond that. ""The real challenge is assessing the exposure and pricing policies accordingly,"" said Neily. ""Some insurance companies feel that is too challenging. Others feel like this is absolutely something they will be able to work with."""
police misconduct,https://www.miamiherald.com/news/local/community/miami-dade/article244081767.html,,
officer arrested,https://lasvegassun.com/news/2020/jul/24/henderson-police-officer-arrested-after-dui-crash/,Henderson Police officer arrested after DUI crash ,"Friday, July 24, 2020 | 5:42 p.m. A Henderson Police officer is facing a DUI count following an apparent crash Friday. Police said Luis Amezcua, 25, was cited for the misdemeanor charge and not jailed because the incident sent him to the hospital. The three-year veteran was placed on paid suspension while the incident remains under investigation, said police, who did not release additional details."
officer arrested,https://www.usatoday.com/story/news/nation/2020/07/23/derek-chauvin-ex-minneapolis-cop-george-floyd-death-tax-charges/5492181002/,"Derek Chauvin, ex-Minneapolis officer charged with killing George Floyd, now facing tax evasion charges","The former Minneapolis police officer charged with killing George Floyd was hit with tax evasion charges Wednesday as prosecutors alleged Derek Chauvin and his wife didn't report their incomes from various jobs over several years. Chauvin and his wife, Kellie May Chauvin, who filed for divorce after Floyd's death, were each charged in Washington County with nine felony counts of filing false tax returns or failing to file tax returns. Chauvin and his wife are accused of underreporting their joint income in state tax returns by $464,433 from 2014 through 2019. Chauvin earned more than $95,000 for his work as an off-duty security guard that was not reported. ""When you fail to fulfill the basic obligation to file and pay taxes, you are taking money from the pockets of citizens of Minnesota. Our office has and will continue to file these charges when presented. Whether you are a prosecutor or police officer, or you are doctor or a realtor, no one is above the law,"" Washington County Attorney Pete Orput said in a statement. Chauvin is one of four former Minneapolis police officers who were fired and later charged in connection to the death of Floyd. Floyd, a Black man, was held to the ground as Chauvin, who is white, pressed his knee into Floyd's neck for more than eight minutes. Floyd repeatedly told the officers he could not breathe. Autopsy reports ruled his death a homicide, and Chauvin faces second-degree murder, third-degree murder and manslaughter charges. The investigation into Chauvin and his wife's taxes began in June after the Minnesota Department of Revenue received information about suspicious filings. According to a criminal complaint, the Chauvins did not report all of their income when filing their state taxes in 2014 and 2015. From 2016 through 2018, they did not file state taxes. The Chauvins this year did file tax returns for 2016 through 2019, but they underreported their income in those years, too, the complaint says. The Chauvins owe $37,868 to the state. Chauvin worked off-duty security at a variety of locations in addition to his work as a Minneapolis police officer. He was required to pay taxes on the income he earned while off-duty. The criminal complaint says Chauvin worked almost every weekend at El Nuevo Rodeo restaurant from from January 2014 through December 2019. He earned roughly $220 a night, and a total of $95,920 was allegedly not reported on state taxes. His wife, a real estate agent and photographer, is accused of not reporting $66,472.75 from 340 checks received at her photography business in 2014 and 2015. The Chauvins also allegedly did not pay proper taxes on the sale of a rental home in 2017 and the purchase of a $100,000 BMW in 2018, prosecutors said. The Associated Press reported that Chauvin's attorney in the murder case declined to comment while his wife's attorney in the divorce did not respond to a request for comment. Neither had attorney listed in the tax case."
officer arrested,https://www.foxnews.com/sports/rays-tweet-arrest-fatal-shooting-breonna-taylor-opening-day,Tampa Bay Rays call for arrest of officers involved in Breonna Taylor's shooting death,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. The Tampa Bay Rays called for the arrest of the Louisville police officers involved in the fatal shooting of Breonna Taylor in a tweet on Friday, hours before their opening day game against the Toronto Blue Jays. The tweet from the Rays official Twitter account early Friday morning read: “Today is Opening Day, which means it's a great day to arrest the killers of Breonna Taylor.” The message was followed by a secondary tweet announcing a $100,000 donation to local organizations fighting against systemic racism. “Systemic racism is real. Let’s unite for positive change,” another tweet read. Taylor, a 26-year-old EMT, was shot eight times as officers burst into her home on Springfield Drive, firing over 20 rounds, as they were conducting no-knock warrant related to a narcotics investigation on March 13. None of the officers involved in the shooting have been arrested or charged. The Kentucky Attorney General’s Office is still investigating. The Rays statement comes a day after MLB players held a black ribbon and kneeled together in a moment honoring the Black Lives Matter movement on Opening Day. San Francisco Giants relief pitcher Sam Coonrod was the only player in both games not to take a knee, arguing that because of his faith “I can’t kneel before anything besides God.” Most members of the San Francisco Giants kneel during a moment of silence prior to an opening day baseball game against the Los Angeles Dodgers, Thursday, July 23, 2020. (AP Photo/Mark J. Terrill) “I just can’t get on board with a couple things I’ve read about Black Lives Matter, how they lean towards Marxism,” Coonrod continued. “And … they said some negative things about the nuclear family. I just can’t get on board with that.” Coonrod didn't elaborate on what he was referring to, but he did tell reporters that he meant no ""ill will"" by his gesture. CLICK HERE TO GET MORE SPORTS COVERAGE ON FOXNEWS.COM The Rays will take on the Blue Jays at Tropicana Field in St. Petersburg, Florida Friday night at 6:40. This material may not be published, broadcast, rewritten, or redistributed. ©2020 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes."
officer arrested,https://abcnews.go.com/US/derek-chauvin-officer-accused-killing-george-floyd-charged/story?id=71941032,"Derek Chauvin, ex-officer accused of killing George Floyd, charged with tax evasion","The former Minneapolis police officer accused of killing George Floyd is also facing multiple felony charges of tax evasion. Derek Chauvin and his estranged wife, Kellie May Chauvin, were charged on Wednesday by Washington County prosecutors with failing to file their taxes since 2016 and filing fraudulent returns since 2014. The couple, who have two homes in Oakdale, Minnesota, and one in Windermere, Florida, owe $37,868 in taxes and penalties, according to the criminal complaint. Derek Chauvin is currently in custody at the Minnesota Correctional Facility at Oak Park Heights on $1.25 million bond following his arrest for the May 25 death of Floyd. He has entered a not guilty plea to the murder charges. His attorney for the Floyd case, Eric Nelson, declined to comment to ABC News on Thursday about the tax evasion charges or confirm whether he would represent the couple in that case. Chauvin, a 19-year law enforcement veteran, was seen on cellphone video pressing his knee into Floyd's neck as Floyd lay on the ground struggling to breathe and calling for his mother. Kellie May Chauvin filed for divorce after Derek Chauvin and three other Minneapolis officers were arrested on felony murder and manslaughter charges in Floyd's death. The Chauvins are now facing six counts each of filing false or fraudulent returns and three counts each of failure to file returns, according to court documents. If convicted, they face up to five years in prison and $10,000 in fines. ""When you fail to fulfill the basic obligation to file and pay taxes, you are taking money from the pockets of citizens of Minnesota,"" Washington County Attorney Pete Orput said in a statement. ""Our office has and will continue to file these charges when presented. Whether you are a prosecutor or police officer, or you are a doctor or a realtor, no one is above the law."" According to the complaint, the Minnesota Department of Revenue's investigation into the Chauvins started on June 12 following multiple correspondences sent in 2019 by the department regarding their missing 2016 individual income tax return. In addition to Derek Chauvin's earnings from the Minneapolis Police Department, he worked since 2014 as an off-duty security guard at four businesses, the complaint said. ""D. Chauvin earned approximately $95,920.00 between January 2014 and December 2019 from El Nuevo Rodeo that the Chauvins did not report as income,"" according to the complaint. The 44-year-old also worked as a licensed Realtor for RE/MAX Results in 2017, earning $9,477.50 that was not reported, the complaint said. Kellie May Chauvin, 45, has worked as a licensed Realtor for RE/MAX Results in Eden Prairie since 2016 but did not  report that income, according to the complaint. She also operates a photography business under the name ""KC Images,"" for which she allegedly did not report her income in 2014 and 2015, according to the complaint. She told investigators that she did not file income tax returns because ""it got away from her,"" according to the criminal complaint. Her father was their accountant for at least two tax seasons, the complaint said. The couple allegedly purchased a 2018 BMW X5 in January 2018 for more than $100,000 and registered it under their address in Florida, where they allegedly avoided paying more than $5,000 in sales tax. Kellie May Chauvin allegedly told investigators last month that they changed their residency to Florida ""because it was cheaper to register a car,"" according to the criminal complaint. A court date has not yet been set for the Chauvins' arraignment, prosecutors confirmed to ABC News on Thursday."
officer arrested,https://www.msn.com/en-us/news/crime/dallas-police-officer-arrested-on-charge-of-transportation-of-child-pornography/ar-BB179sHx,Dallas police officer arrested on charge of transportation of child pornography,"A Dallas police officer was arrested on a charge of transportation of child pornography Thursday. Daniel Collins, a senior corporal currently assigned to the department’s auto theft unit, was arrested by Homeland Security Investigations, Dallas police said. He is being held in the Tarrant County Jail. Collins has been with the department since 2007. He is currently on administrative leave pending the outcome of an internal affairs administrative investigation, the department said. No other information about the circumstances of Collins’ arrest was made available. His bail information was not available Friday morning. Visit The Dallas Morning News at www.dallasnews.com Distributed by Tribune Content Agency, LLC."
officer arrested,https://www.foxnews.com/us/philly-da-warns-feds-arrested-storm-protests,Philly DA warns federal officers could be arrested if they storm Pennsylvania protests,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. The district attorney in Philadelphia is warning federal officers that they could face arrest if they bring their tactics of ""abuse of power"" to his city. District Attorney Larry Krasner accused President Trump of ""acting like an authoritarian dictator,"" he said on an appearance on MSNBC's ""The ReidOut"" Thursday and cautioned him not to send federal agents to his city. The stern words come as agents from the Department of Homeland Security, Customs and Border Protection, Federal Protective Service, and U.S. Marshals Service were deployed to Portland, Ore. and Washington, D.C., to quell pockets of violence stemming from otherwise peaceful demonstrations denouncing police brutality and racial inequality. Trump said the agents are there with the purpose of protecting federal buildings and property from destruction, as protesters continue to light fires and vandalize many edifices in different cities. However, reports of excessive force by federal officers on protesters, and agents who failed to properly identify themselves during demonstrations or give adequate reasoning for sweeping arrests, have pushed the Justice Department to open an investigation into the officers' conduct. Krasner says the extra strongarming isn't needed in Philadelphia. ""While the City of Philadelphia has not received any formal notification that federal agents will be sent here, we would use all available means to resist such an abuse of power,"" the district attorney said in a tweet on Monday. Philadelphia police are facing backlash themselves, and one member of the city's SWAT team will be dismissed Friday after video surfaced of officers spraying peaceful demonstrators with pepper spray while the protesters were trapped on Interstate 676 by officers on either side of the highway. Protesters marching against the death in Minneapolis police custody of George Floyd are detained by police in Philadelphia, Pennsylvania June 1, 2020. Police Commissioner Danielle Outlaw issued a moratorium on the use of tear gas in most situations, including to disperse crowds of nonviolent people. The commissioner's office did not respond to Fox News' request for comment on how the city would theoretically deal with arresting or detaining federal officers if they used excessive force during a protest. This material may not be published, broadcast, rewritten, or redistributed. ©2020 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes."
officer arrested,https://www.msn.com/en-us/news/crime/dallas-officer-arrested-on-charge-of-transportation-of-child-pornography-police-say/ar-BB1791WJ,"Dallas officer arrested on charge of transportation of child pornography, police say","A Dallas police officer was taken into custody on Thursday on a charge of transportation of child pornography, police said. Senior Corporal Daniel Collins was arrested by Homeland Security Investigations, the department said in a news release. He’s being held in the Tarrant County Jail. Police have placed Collins on administrative leave amid an internal affairs investigation, the department said. Collins joined the department in July 2007, police said. He has been working in the auto theft unit. Visit the Fort Worth Star-Telegram at www.star-telegram.com Distributed by Tribune Content Agency, LLC."
officer arrested,https://www.stltoday.com/news/watch-now-two-velda-city-police-officers-charged-with-first-degree-assault/video_25965f40-fdcf-5294-8c74-c2251ce17815.html,"
        
            
            Watch now: Two Velda City police officers charged with first-degree assault
        
    ","St. Louis County prosecuting attorney Wesley Bell announced on Friday that two Velda City police officers, Christopher Gage and Matthew Schanz, are being charged with first-degree assault and armed criminal action for a traffic stop that resulted in officers opening fire on February 25, 2020. Email notifications are only sent once a day, and only if there are new matching items. A Velda City officer accused of assault for shooting a fleeing driver interrupted a news conference Friday to say that the shooting was justified. Get up-to-the-minute news sent straight to your device."
